text,headline
"париж, 29 янв - риа новости, владимир добровольский. франция и сша выработали общую позицию по санкциям против ирана и намерены представить их совету безопасности оон, заявил министр иностранных дел франции бернар кушнер после встречи с госсекретарем сша хиллари клинтон в пятницу. мы достигли очень четкого соглашения о дальнейших действиях. после всего, что мы предприняли, мы будем действовать по двум направлениям. постоянный диалог, а также работа над санкциями. я думаю, что мы, шестерка, сделали все возможное. в нью-йорке и здесь мы работаем над санкциями, которые мы представим совбезу, - сказал кушнер. в шестерку переговорщиков по ядерной проблеме ирана входят сша, россия, китай, германия, великобритания и франция. по его словам, франция и сша довольны позицией по санкциям их российских коллег и продолжают обсуждать этот вопрос с китаем. западные страны подозревают иран в разработке ядерного оружия, но тегеран категорически отвергает эти подозрения, заявляя о мирном характере своей ядерной программы.",франция и сша вместе выработают санкции против ирана
"москва, 29 янв - риа новости. кинодраматург, сценарист, поэт, бард и художник евгений агранович скончался в москве на 92-м году жизни, сообщила в пятницу в эфире радиостанции эхо москвы бард и журналист нателла болтянская. агранович - автор таких известных песен, как я в весеннем лесу пил березовый сок, последний рыцарь на арбате, вечный огонь от героев былых времен и многих других.","скончался кинодраматург, литератор и бард евгений агранович"
"москва, 29 янв - риа новости. актер олег стриженов получил спецприз премии золотой орел и заявил, что никогда не снимался в кино ради денег, передает корреспондент риа новости с церемонии вручения премии в пятницу. это дело, которому себя я посвятил до фанатизма, - сказал стриженов. он считает, что любовь к кино не может быть делом заработка. я даю вам слово, что я никогда не снимался для денег. спасибо господу, я был этого лишен. поэтому я с чистой совестью говорю, что я отвечаю за каждую мою работу головой. у меня не было ничего случайного. это был не образ жизни ради денег - это творчество, - сказал актер.",специальный золотой орел присужден актеру олегу стриженову
"москва, 29 янв - риа новости. олимпийский комитет италии coni объявил о временной дисквалификации нападающего фиорентины адриана муту в связи с требованием анти-допингового трибуанла от 28 января, сообщает афп. накануне стало известно, что допинг-проба 31-летнего муту, взятая после матча против бари в серии а 10 января, дала положительный результат на сибутрамин. форварду сборной румынии грозит четырехлетняя дисквалификация. coni также выяснил, что в еще одной пробе румына, взятой 20 января после победы в кубке италии над лацио 3:2, в котором муту сделал дубль, обнаружен тот же запрещенный препарат. в фиорентине опровергли подозрения в том, что в деле замешана медицинская служба клуба, а также выразили надежду на скорейшее разрешение ситуации. по сведениям агентства ansa, сибуртамин, который применяется для избавления от лишнего веса, может увеличить уровень агрессивности атлета. мать футболиста родика муту признала, что принимала таблетки для похудания, а также заявила, что точно оставила некоторые из них в италии, когда гостила у своего сына. возможно, он попробовал их из любопытства, поскольку я хвасталась перед ним тем, что потеряла много килограммов, - заявила родика в интервью телеканалу telesport. но в любом случае, на коробке написано, что это натуральный продукт, который не содержит никаких запрещенных субстанций. ранее муту, выступая за челси, был уличен в употреблении кокаина, за что был дисквалифицирован на семь месяцев и изгнан из клуба. кроме того, суд обязал футболиста выплатить клубу из лондона компенсацию в размере 17 миллионов евро.",олимпийский комитет италии дисквалифицировал уличенного в допинге муту
"москва, 29 янв - риа новости. главный тренер аз дик адвокат заявил, что голландский футбольный клуб еще не договорился со спартаком о переходе бразильского нападающего ари, сообщает goal.com. мы не заключили сделку о трансфере ари в спартак, - сказал бывший тренер зенита. - если я захочу, могу наложить вето на этот переход. по словам наставника голландского клуба, он должен в первую очередь думать о благе команды, и руководство аз всегда прислушивается к его мнению относительно трансферных сделок. тем не менее адвокат признал, что в его команде сейчас много игроков атаки. я смогу легко заменить ари джермэйном лансом, если первый все же покинет клуб, - отметил тренер. ранее спорт-экспресс сообщал, что 24-летний ари может уйти из аз, и московский спартак заинтересован в приобретении бразильца.",аз еще не договорился со спартаком о переходе ари - дик адвокат
"москва, 29 янв - риа новости. безработица в странах восточной европы и снг в 2010 году сохранится на уровне 2009 года, в то же время, в россии в мае-июне стоит ожидать всплеска сезонной безработицы, сказал риа новости заместитель начальника управления по развитию трудового потенциала нии труда и социального страхования минздравсоцразвития россии денис зибарев. к чему все идет? согласно прогнозу международной организации труда мот, уровень безработицы в странах центральной и восточной европы цве, не являющихся членами европейского союза, а также снг, в 2010 году может снизиться на 0,2 процентного пункта - до 10,1% с 10,3%. число безработных в странах цве и снг предположительно снизится до 18,1 миллиона человек в 2010 году с 18,3 миллиона человек в 2009 году. таким образом, как полагают эксперты, уже в наступившем году около 200 тысяч человек получат шанс устроиться на работу. в тоже время, эксперты мот прогнозируют, что в странах с развитой экономикой и странах евросоюза число безработных может даже увеличиться еще на несколько миллионов человек. в других регионах безработица незначительно сократится или останется на прежнем уровне, считают эксперты мот. сегодняшняя мировая экономика начинает выходить из рецессии, и, как следствие, ситуация с безработицей будет улучшаться. несомненно, легкое увеличение безработицы в 2010 году будет наблюдаться в странах евросоюза, но не такими темпами, как в прошлом году более умеренными. что касается стран, не являющихся членами ес, то безработица вряд ли резко пойдет на убыль, - сказал зибарев, комментируя данные мот. вся надежда на инновации многие эксперты и чиновники связывали рост безработицы в рф в конце 2009 года с сезонным фактором. однако, по данным минздравсоцразвития рф, за последнюю неделю с 13 по 20 января безработица в россии снизилась более чем на 1,5%. сезонный фактор, несомненно, влияет на уровень безработицы, и пик роста обязательно будет преодолен. очередной всплеск сезонной безработицы следует ожидать в конце весны - начале лета, - считает специалист. однако, по словам эксперта нии труда и социального страхования, всплеска увольнений, который предрекал международный валютный фонд мвф в конце 2009 года, ожидать, все-таки, не стоит. связано это с тем, что президентом россии поставлен курс на модернизацию экономики. есть надежда, что в нашей стране начнут появляться инновационные предприятия с конкурентоспособной продукцией, что позволит создать новые рабочие места в инновационном секторе, - сказал зибарев. молодежные нажны мастер-классы экономический кризис показал, что на первый план не только в россии, но во всем мире вышла молодежная безработица. по данным росстата, наибольшие трудности с трудоустройством в рф испытывают молодые люди до 25 лет, не имеющие опыта работы. по словам эксперта, проблема трудоустройства молодежи в значительной степени вызвана неудовлетворительным качеством образования, недостаточной степенью освоения программ обучения и поверхностностью профессиональных знаний. для решения этих проблем, по мнению зибарева, необходимо усилить государственное влияние в сфере профессиональной подготовки кадров. нужно пересмотреть направления и уровни профессиональной подготовки с учетом спроса и предложения на рынке труда, - заметил он. зибарев подчеркнул, что особое внимание нужно уделить прогнозированию перспективных профессий, которые в ближайшем будущем будут наиболее востребованы на рынке труда. по мнению специалиста, еще одним вариантом решения проблемы молодежной безработицы может стать усиление взаимосвязи работодателей с учреждениями профессионального образования. студентам необходимы стажировки, мастер-классы и практика. необходимо стимулировать работодателя, чтобы они принимали студентов на подобные места во время студенческой практики. благодаря этому, выпускник будет покидать учебное заведение уже с опытом работы, и не будет испытывать проблем при последующем трудоустройстве, - сказал зибарев. застою - бой уровень безработицы в рф к концу 2009 года снизился до 8,2% - в декабре общая численность безработных составила 6,173 миллиона человек, сообщил ранее росстат. при этом в россии почти 33% безработных согласно методологии мот, не могут найти работу в течение года и более, находясь в состоянии застойной безработицы. по мнению зибарева, проблема состоит в том, что требования работодателей во время кризиса существенно возросли, и большинство из них в целях минимизации своих издержек стали экономить на фонде оплаты труда и сокращать штатную численность и найм работников. это подстегнуло застойную безработицу. необходимо модернизировать модули профессиональной переподготовки и обучения по наиболее востребованным в настоящее время профессиям, - считает эксперт.",рынок труда - 2010: число безработных в рф вырастет в начале лета
"москва, 29 янв - риа новости, виктор хруль. глава конференции католических епископов россии ккер епископ иосиф верт выразил надежду, что католикам россии вернут их храмы, построенные до 1917 года, сообщает пресс-служба католической преображенской епархии, которую возглавляет епископ верт, в пятницу. премьер-министр рф владимир путин на встрече с патриархом московским и всея руси кириллом в начале января пообещал, что власти в этом году передадут русской православной церкви древний новодевичий монастырь в москве, который сейчас одновременно является действующим монастырем и филиалом государственного исторического музея. нам бы хотелось помочь этому процессу возвращения храмов и имущества религиозных организаций, не дать ему забуксовать, - заявил глава ккер. напомнив, что католической церкви до сих пор не возвращены храмы в куйбышеве и венгерово новосибирской области, храм в барнауле алтайского края, епископ призвал уже теперь начать работу и собирать данные о наших сохранившихся храмах, которые все еще не возвращены верующим. необходимо, по его мнению, определить количество таких храмов, провести работу в архивах и собрать все доступные материалы. епископ верт также отметил заметное потепление православно-католических отношений. я могу утверждать, что отношения между католической и православной церквами ныне значительно улучшились, - заявил он. глава ккер отметил, что эти отношения значительно осложнились после преобразования в 2002 году католических апостольских администратур в полноценные епархии, но теперь главные трудности уже позади. сегодня мы значительно реже слышим упреки в свой адрес в прозелитизме и другие обвинения, - сказал епископ.","католики россии надеются, что им вернут их старинные храмы"
"москва, 29 янв - риа новости. главный тренер казанского ак барса зинэтула билялетдинов из-за болезни пропустит матч звезд континентальной хоккейной лиги кхл, его заменит наставник московского динамо андрей хомутов, сообщает в пятницу официальный сайт кхл. хомутов займет место билялетдинова в качестве одного из тренеров команды яшина в шоу-матче, который пройдет в минске 30 января. он присоединится к тандему из уфимского салавата юлаева вячеслав быков - игорь захаркин. в связи с полученной в последней перед матчем звезд игре регулярного чемпионата кхл травмой покинул состав команды ягра словацкий защитник спартака ярослав обшут. обшута заменит форвард минского динамо джефф плэтт. несмотря на полученное во время встречи с ярославским локомотивом сотрясение мозга, центрфорвард салавата юлаева сергей зиновьев выступит в минске на втором в истории матче звезд кхл.",наставник ак барса билялетдинов пропустит матч звезд кхл
"москва, 29 янв - риа новости. судебные приставы снесли с 21 по 29 января 22 незаконно возведенных строения в московском поселке речник и освободили 17 земельных участков, сообщил в пятницу риа новости представитель управления федеральной службы судебных приставов россии по москве. ранее сообщалось, что снесено около 13 строений. суд постановил, что возводить капитальные строения в речнике запрещено, так как он находится на землях особо охраняемого парка москворецкий. снос домов начался в ночь на 21 января 2010 года. жители утверждают, что судебные решения не вступили в силу, и намерены добиваться дачной амнистии. многие из них не имеют другого места жительства. в указанный период 21-29 января по 17 исполнительным производствам освобождено 17 земельных участков. снесено 22 строения. всего на исполнении у судебных приставов осталось 20 исполнительных производств, из которых по 17 приняты решения об отложении исполнительных действий сроком до 10 дней в связи с поступившими заявлениями от владельцев о добровольном демонтаже имущества, а также в связи с обжалованием судебных решений, - сказал собеседник агентства. он отметил, что в четверг один из должников обратился с заявлением о предоставлении возможности и времени для самостоятельного вывоза имущества из незаконно возведённого строения. судебными приставами принято решение о предоставлении данному гражданину возможности для вывоза имущества в срок до 1 февраля этого года, - сказал представитель уфссп. он также уточнил, что зафиксирован один случай добровольного демонтажа здания, когда владелец самостоятельно разобрал дом и вывез с участка все вещи. в пятницу приставами было исполнено пять исполнительных производств по пяти земельным участкам, сказал собеседник агентства. в управлении подчеркнули, что на этой неделе в поселке речник исполнялись решения о ликвидации только тех домов, которые не использовались жителями в качестве постоянного места проживания. в понедельник, 1 февраля, работа по исполнению судебных решений будет продолжена, сказал представитель уфссп. в настоящий момент жалоб на действия судебных приставов - исполнителей от должников в центральный аппарат фссп россии не поступало, в том числе и по круглосуточному телефону доверия, сказали в управлении.",более 20 строений снесено в московском поселке речник
"москва, 29 янв - риа новости. победители конкурса золотой орел объявлены в пятницу вечером в москве. приз за лучшую женскую роль на телевидении получила людмила нильская, лучшую мужскую роль - александр голубев, передает корреспондент риа новости. награду нильской вручил актер марат башаров, который вышел на сцену с букетом белых роз и сразу разделил его на три части, которые подарил каждой из номинанток - нонне гришаевой, елене лядовой и людмиле нильской. несмотря на то, что башаров не хотел обидеть ни одну из актрис, золотой орел достался только одной из них - людмиле нильской за роль дочери брежнева в фильме галина. принимая приз, она призналась, что эта награда для нее очень дорога и поблагодарила всю команду, работавшую над кинокартиной, принесшей ей успех. за лучшую мужскую роль приз получил александр голубев, снявшийся в фильме братья карамазовы. актер, принявший статуэтку из рук виктории толстогановой, поблагодарил организаторов конкурса и съемочную группу фильма. в номинации лучший телефильм или мини-сериал победу одержал сериал без вины виноватые режиссера глеба панфилова. главные роли в ленте сыграли инна чурикова, олег янковский, виктор сухоруков, дмирий певцов, маия шукшина и многие другие известные артисты, которых и поблагодарили продюсеры картины со сцены. лучшим сериалом был признан тяжелый песок по роману анатолия рыбакова режиссера антона барщевского. он отметил, что необычайно важно, что такая невеселая, но героическая тема, которая была поднята в нашем фильме, нашла отражение в призах.",золотые орлы за лучшие роли на телевидении вручены в москве
"москва, 29 янв - риа новости. церемония вручения национальной премии золотой орел началась в первом павильоне мосфильма вечером в пятницу, передает корреспондент риа новости. в главной номинации лучший фильм представлены пять российских картин: анна каренина сергея соловьева, палата номер 6 карена шахназарова, петя по дороге в царствие небесное николая досталя, стиляги валерия тодоровского и царь павла лунгина. церемония началась с выступления заместителя председателя правительства рф александра жукова, который зачитал приветствие президента рф дмитрия медведева и сказал несколько слов от правительства рф. он пообещал, что правительство и в дальнейшем будет поддерживать развитие отечественного кинематографа. жуков отметил, что средства, которые идут на кинематограф, с каждым годом будут все увеличиваться, и будут тратиться, в том числе, на развитие детского, анимационного, документального кино. церемонию вручения премии открыли актриса ирина рахманова и актер александр олешко.",церемония вручения премии золотой орел началась на мосфильме
"москва, 29 янв - риа новости. португальский футбольный клуб порту завершил трансфер 26-летнего нападающего бразильского крузейро клебера, сообщает a bola. сумма сделки составила 5,5 миллионов евро. вдобавок крузейро приобрел 75% прав на аргентинского форварда драконов серхио фариаса, который получил разрешение покинуть клуб. срок соглашения не называется, отмечает издание. клебер, который в 2004-2008 годах выступал за киевское динамо, в начале 2009-го вернулся в бразилию. на данный момент действующий чемпион португалии находится на третьей строчке, уступая три очка бенфике и шесть браге.",порту усилился экс-форвардом киевского динамо клебером
"ярославль, 29 янв - риа новости. нападающий из бразилии приедет на просмотр в шинник на учебно-тренировочный сбор в турцию, сообщил риа новости представитель пресс-службы ярославского футбольного клуба. кроме того, ожидается прибытие защитника из кот-д ивуара, полузащитника из сенегала и ряда российских футболистов различных амплуа. сбор в турции для команды игоря ледяхова начался 29 января и продлится до 11 февраля. местом расположения ярославцев на ближайшие две недели стал отель papillon ayscha, расположенный в 30 километрах от анталии. на сборе шинник будет работать в следующем составе: вратари - городов, хотеев, смирнов, защитники - сухов, вьештица, кабанов, белецкий, али, беличенко, дудник, полузащитники - лацузбая, резников, войдель, рыжков, кудрявцев, корытько, калашников, едунов, нападающие - монарев, земченков, говоров. у 16 футболистов уже подписаны контракты с ярославским клубом. в ярославле остался восстанавливающийся после операции нападающий александр еркин. он будет работать по индивидуальному плану. тренерский штаб рассчитывает, что полноценную подготовку к сезону еркин начнет на следующем турецком сборе. на первом сборе у шинника запланированы три товарищеских матча. первая игра состоится 31 января с болгарским клубом банско.",фк шинник просмотрит на сборе в турции бразильского форварда
"москва, 29 янв - риа новости. габон станет хозяином финального поединка кубка африканских наций-2012, а экваториальная гвинея примет матч открытия, сообщает рейтер со ссылкой на африканскую конфедерацию футбола caf. для проведения чемпионата, который состоится в январе 2012 года, будут задействованы четыре арены. точные даты турнира пока неизвестны. организаторы сообщают, что габон построит новый стадион в либревиле, на котором будет сыгран финальный матч, а также обновит уже существующий стадион в франсвиле. экваториальная гвинея уже возвела новые арены в столичном городе малабо и в бате. кубок африки-2012 станет вторым турниром, который примут совместно две страны. в 2000 году гана и нигерия подменили зимбабве, провалившего сроки подготовки и потерявшего право на проведение соревнований.",финал кубка африканских наций-2012 пройдет в габоне
"москва, 29 янв - риа новости. ведущие фондовые индексы европы по итогам торгов в пятницу увеличились на фоне рекордного за шесть лет роста ввп сша в четвертом квартале, а также на позитивных новостях от крупных европейских компаний bayerische motoren werke ag и infineon technologies ag, свидетельствуют данные бирж. к закрытию торгов в пятницу британский индекс ftse 100 набрал 0,83% и поднялся до отметки 5188,52 пункта. германский dax в пятницу прибавил 1,24%, достигнув 5608,79 пункта. французский индекс cac по итогам торгов вырос на 1,37% и достиг отметки в 3739,46 пункта. данные действительно выглядят очень вдохновляюще, и рынок с радостью отпрыгнул на них, - заявил агентству bloomberg управляющий фондами 7 investment management джастин стюарт justin stewart. - тем не менее, это лишь одна часть данных, необходимо, чтобы она была подкреплена статистикой по расходам потребителей. до сих пор мы наблюдали прекрасное ралли, надо быть готовыми к коррекции рынка. европейские инвесторы позитивно восприняли свежую порцию статистики по крупнейшей в мире экономике. рост реального ввп сша по итогам четвертого квартала прошлого года составил 5,7%, что намного превзошло ожидания аналитиков. эксперты прогнозировали, что темп увеличения ввп в четвертом квартале составит 4,5% против увеличения на 2,2% по итогам третьего квартала. поддержали торговые площадки и прогнозы европейских компаний по финансовым показателям на текущий год. крупнейший в мире производитель автомобилей класса люкс, германский bmw, повысил прогноз по прибыли на 2010 год за счет увеличения продаж на рынках сша, китая и германии. второй по величине в европе производитель полупроводниковых материалов, infineon, обозначил в пятницу прогноз по выручке на 2009 2010 финансовый год. согласно ожиданиям компании, продажи за год, заканчивающийся 30 сентября, вырастут более чем на 20%. кроме того, позитив пришел на рынки и от одной из крупнейших международных химических компаний, германской henkel ag, доналоговая прибыль которой, без учета расходов на реструктуризацию по итогам 2009 года увеличилась на 38,7% - до 1,1 миллиарда евро против 779 миллионов евро в 2008 году. инвесторы на фондовых биржах европы также с воодушевлением восприняли заявления греческих властей о намерении не допустить дефолта страны по долговым обязательствам, а также интенсифицировать в случае необходимости усилия по борьбе с рекордно высоким среди стран еврозоны дефицитом бюджета. внутренняя статистика по рынку труда не смогла в пятницу увести европейские биржи в красную зону. уровень безработицы в 16 странах еврозоны в декабре прошлого года увеличился на 0,1% и достиг максимального с августа 1998 года уровня 10%. аналогичный показатель для всего евросоюза также повысился на 0,1 процентного пункта - до максимальной с января 2000 года отметки 9,6%. максимальное среди стран еврозоны соотношение безработных к общему числу трудоспособного населения было, при этом, зарегистрировано в испании 19,5%. ftse 100 financial times stock exchange 100 index - основной фондовый индекс великобритании, рассчитывается по котировкам акций 100 британских компаний с максимальной рыночной капитализацией, взвешенных по рыночной капитализации. dax 30 deutscher aktienindex - основной фондовый индекс германии, рассчитывается как индекс доходности акций 30 крупнейших компаний по рыночной капитализации. cac 40 cotation assistee en continu - основной биржевой индекс франции, рассчитывается как средневзвешенное по капитализации значение цен акций 40 крупнейших компаний.",биржи европы завершили пятницу ростом на данных по ввп сша
"самое интересное, что покажут на этих выходных в кино безусловно, воображариум доктора парнаса терри гиллиама: причудливое и вычурное как водится размышление автора бразилии и участника монти пайтонов о жизни вообще и о режиссерстве в частности. дьявола здесь играет том уэйтс что само по себе повод для покупки билета роль одного из его противников должен был сыграть хит леджер, но в разгар съемок леджер умер выход из ситуации придумал джонни депп в героя леджера по очереди превращаются они с колином фарреллом и джудом лоу, и трюки, которые вытовряет эта блестящая четверка, способны немало украсить вечер. в качестве альтернативы возмездие, где впервые за 8 лет сыграл главную роль мэл гибсон тема достаточно актуальная: секретные службы, радиоактивные отравления и прочие уколы зонтиками. ну а для создания благостного настроения диснеевская зубная фея, после которой заморская традиция класть выпавшие молочные зубы под подушку, загадывать желание и обнаруживать поутру монетку вполне может прижиться и на нашей почве. герой актера дуэйна джонсона жесткий хоккеист дерек томпсон по прозвищу зубная фея нет, монеток под подушками он не оставлял: у него просто была привычка выбивать зубы у игроков команды-соперника. однако, развеяв иллюзии сына своей подруги относительно всех в мире чудес, он оказывается в наказание приговорен к неделе исправительных работ в роли настоящей зубной феи. вначале это задание кажется дереку не по зубам он все путает и действует крайне неуклюже, когда пытается украдкой впорхнуть в незнакомые дома, делая то, что положено зубным феям. но, потихоньку привыкая к новой роли, он начинает вспоминать собственные мечты. в результате наши, как всегда, побеждают не без помощи магии, и в финале можно проливать слезы умиления. театральные выходные, безусловно, станут чеховскими. масштабное празднование 150-летия антона павловича подвигло режиссеров на масштабные ревизии творчества классика. режиссер-экспериментатор дмитрий крымов выдал спектакль тарарабумбия 30 января, парад героев всех чеховских пьес, про который сам говорит так: это такая абракадабра, какая-то яичница с луком: не поймешь, что за форма, форма абсурда, о-пля-тру-ля-ля. на сцене театра моссовета 30 и 31 января швейцарский театр сунил представит постановку донка послание чехову знаменитого швейцарского режиссера даниэле финци паски в москву он уже привозил свои удивительные туман и дождь. в основу донки легли дневники писателя с замечаниями на полях, но необычность постановки не только в этом: здесь чехов переведен на язык клоунады, жонглеров и акробатов. смотреть фотографии с репетиции тарарабумбии спектакль три года 30 января - премьера сезона в студии театрального искусства женовача. это предельн о жесткая и натуралистичная постановка, где молодые актеры пребывают в горизонтальном положении до тех пор, пока не настанет время их реплик. одна из героинь так и умирает, не встав с кровати, и ее тело выносят в антракте, чтобы не разрушать натуралистической иллюзии. концертная программа получается разномастная: аквариум будет два дня подряд играть на сцене дк маи первые концерты нового десятилетия в планах любимые композиции разных времен бунтарь, визионер, автор хлесткой дефиниции говнорок, поклонник баха и просто автор лучших песен эпохи федор чистяков выступит в клубе ikra 30 января, а в светлановском зале в тот же день на сцену выйдет американский фьюжн-гитарист стэнли джордан, который играет на гитарном рифе двумя руками, как на рояле что 25 лет назад произвело сенсацию в мире инструментальной музыки. самая обаятельная выставка недели москва 1957 в музее личных коллекций гмии им. пушкина. интересна она по нескольким причинам. во-первых, это фотовыставка - явление для музея весьма редкое во-вторых, снимки сделаны швейцарцем леонаром джанаддой, тогда еще студентом, а ныне - меценатом, при поддержке которого в гмии сейчас проходят многие проекты. в-третьих - и это, пожалуй, самое главное, - можно вволю понастальгировать, разглядывая репортажные кадры со всемирного фестиваля молодежи и студентов, куда джанадда попал совершенно случайно из любопытства. съемки постановочных мероприятий соседствуют здесь с обычной жизнью москвичей конца 1950-х годов глазами жителя благополучной швейцарии. по политическим причинам съемка так и не была опубликована на родине джанадды и до недавнего времени существовала лишь в негативах. закаленных долгими морозами москвичей проект кенозерье. небеса ручной работы, посвященный русскому северу, уже не испугает, хотя самостоятельно отправиться на место действия зимой вряд ли кто-нибудь решится. так что на уникальные деревянные церкви, а также иконы и утварь из них, вполне интересно будет взглянуть в выставочных залах реставрационного центра имени грабаря. главным экспонатом выставки стао небо - вручную отреставрированная верхняя часть никольской часовни деревни усть-поча.",планы на выходные: от рукотворных небес до полной анархии
